,holiday,date
0,NewYearsDay,01/01/1900
1,NewYearsDay,01/01/1901
2,NewYearsDay,01/01/1902
3,NewYearsDay,01/01/1903
4,NewYearsDay,01/01/1904
5,NewYearsDay,01/01/1905
6,NewYearsDay,01/01/1906
7,NewYearsDay,01/01/1907
8,NewYearsDay,01/01/1908
9,NewYearsDay,01/01/1909
10,NewYearsDay,01/01/1910
11,NewYearsDay,01/01/1911
12,NewYearsDay,01/01/1912
13,NewYearsDay,01/01/1913
14,NewYearsDay,01/01/1914
15,NewYearsDay,01/01/1915
16,NewYearsDay,01/01/1916
17,NewYearsDay,01/01/1917
18,NewYearsDay,01/01/1918
19,NewYearsDay,01/01/1919
20,NewYearsDay,01/01/1920
21,NewYearsDay,01/01/1921
22,NewYearsDay,01/01/1922
23,NewYearsDay,01/01/1923
24,NewYearsDay,01/01/1924
25,NewYearsDay,01/01/1925
26,NewYearsDay,01/01/1926
27,NewYearsDay,01/01/1927
28,NewYearsDay,01/01/1928
29,NewYearsDay,01/01/1929
30,NewYearsDay,01/01/1930
31,NewYearsDay,01/01/1931
32,NewYearsDay,01/01/1932
33,NewYearsDay,01/01/1933
34,NewYearsDay,01/01/1934
35,NewYearsDay,01/01/1935
36,NewYearsDay,01/01/1936
37,NewYearsDay,01/01/1937
38,NewYearsDay,01/01/1938
39,NewYearsDay,01/01/1939
40,NewYearsDay,01/01/1940
41,NewYearsDay,01/01/1941
42,NewYearsDay,01/01/1942
43,NewYearsDay,01/01/1943
44,NewYearsDay,01/01/1944
45,NewYearsDay,01/01/1945
46,NewYearsDay,01/01/1946
47,NewYearsDay,01/01/1947
48,NewYearsDay,01/01/1948
49,NewYearsDay,01/01/1949
50,NewYearsDay,01/01/1950
51,NewYearsDay,01/01/1951
52,NewYearsDay,01/01/1952
53,NewYearsDay,01/01/1953
54,NewYearsDay,01/01/1954
55,NewYearsDay,01/01/1955
56,NewYearsDay,01/01/1956
57,NewYearsDay,01/01/1957
58,NewYearsDay,01/01/1958
59,NewYearsDay,01/01/1959
60,NewYearsDay,01/01/1960
61,NewYearsDay,01/01/1961
62,NewYearsDay,01/01/1962
63,NewYearsDay,01/01/1963
64,NewYearsDay,01/01/1964
65,NewYearsDay,01/01/1965
66,NewYearsDay,01/01/1966
67,NewYearsDay,01/01/1967
68,NewYearsDay,01/01/1968
69,NewYearsDay,01/01/1969
70,NewYearsDay,01/01/1970
71,NewYearsDay,01/01/1971
72,NewYearsDay,01/01/1972
73,NewYearsDay,01/01/1973
74,NewYearsDay,01/01/1974
75,NewYearsDay,01/01/1975
76,NewYearsDay,01/01/1976
77,NewYearsDay,01/01/1977
78,NewYearsDay,01/01/1978
79,NewYearsDay,01/01/1979
80,NewYearsDay,01/01/1980
81,NewYearsDay,01/01/1981
82,NewYearsDay,01/01/1982
83,NewYearsDay,01/01/1983
84,NewYearsDay,01/01/1984
85,NewYearsDay,01/01/1985
86,NewYearsDay,01/01/1986
87,NewYearsDay,01/01/1987
88,NewYearsDay,01/01/1988
89,NewYearsDay,01/01/1989
90,NewYearsDay,01/01/1990
91,NewYearsDay,01/01/1991
92,NewYearsDay,01/01/1992
93,NewYearsDay,01/01/1993
94,NewYearsDay,01/01/1994
95,NewYearsDay,01/01/1995
96,NewYearsDay,01/01/1996
97,NewYearsDay,01/01/1997
98,NewYearsDay,01/01/1998
99,NewYearsDay,01/01/1999
100,NewYearsDay,01/01/2000
101,NewYearsDay,01/01/2001
102,NewYearsDay,01/01/2002
103,NewYearsDay,01/01/2003
104,NewYearsDay,01/01/2004
105,NewYearsDay,01/01/2005
106,NewYearsDay,01/01/2006
107,NewYearsDay,01/01/2007
108,NewYearsDay,01/01/2008
109,NewYearsDay,01/01/2009
110,NewYearsDay,01/01/2010
111,NewYearsDay,01/01/2011
112,NewYearsDay,01/01/2012
113,NewYearsDay,01/01/2013
114,NewYearsDay,01/01/2014
115,NewYearsDay,01/01/2015
116,NewYearsDay,01/01/2016
117,NewYearsDay,01/01/2017
118,NewYearsDay,01/01/2018
119,NewYearsDay,01/01/2019
120,NewYearsDay,01/01/2020
121,NewYearsDay,01/01/2021
122,NewYearsDay,01/01/2022
123,NewYearsDay,01/01/2023
124,NewYearsDay,01/01/2024
125,NewYearsDay,01/01/2025
126,NewYearsDay,01/01/2026
127,NewYearsDay,01/01/2027
128,NewYearsDay,01/01/2028
129,NewYearsDay,01/01/2029
130,NewYearsDay,01/01/2030
131,NewYearsDay,01/01/2031
132,NewYearsDay,01/01/2032
133,NewYearsDay,01/01/2033
134,NewYearsDay,01/01/2034
135,NewYearsDay,01/01/2035
136,NewYearsDay,01/01/2036
137,NewYearsDay,01/01/2037
138,NewYearsDay,01/01/2038
139,NewYearsDay,01/01/2039
140,NewYearsDay,01/01/2040
141,NewYearsDay,01/01/2041
142,NewYearsDay,01/01/2042
143,NewYearsDay,01/01/2043
144,NewYearsDay,01/01/2044
145,NewYearsDay,01/01/2045
146,NewYearsDay,01/01/2046
147,NewYearsDay,01/01/2047
148,NewYearsDay,01/01/2048
149,NewYearsDay,01/01/2049
150,NewYearsDay,01/01/2050
151,NewYearsDay,01/01/2051
152,NewYearsDay,01/01/2052
153,NewYearsDay,01/01/2053
154,NewYearsDay,01/01/2054
155,NewYearsDay,01/01/2055
156,NewYearsDay,01/01/2056
157,NewYearsDay,01/01/2057
158,NewYearsDay,01/01/2058
159,NewYearsDay,01/01/2059
160,NewYearsDay,01/01/2060
161,NewYearsDay,01/01/2061
162,NewYearsDay,01/01/2062
163,NewYearsDay,01/01/2063
164,NewYearsDay,01/01/2064
165,NewYearsDay,01/01/2065
166,NewYearsDay,01/01/2066
167,NewYearsDay,01/01/2067
168,NewYearsDay,01/01/2068
169,NewYearsDay,01/01/2069
170,NewYearsDay,01/01/2070
171,NewYearsDay,01/01/2071
172,NewYearsDay,01/01/2072
173,NewYearsDay,01/01/2073
174,NewYearsDay,01/01/2074
175,NewYearsDay,01/01/2075
176,NewYearsDay,01/01/2076
177,NewYearsDay,01/01/2077
178,NewYearsDay,01/01/2078
179,NewYearsDay,01/01/2079
180,NewYearsDay,01/01/2080
181,NewYearsDay,01/01/2081
182,NewYearsDay,01/01/2082
183,NewYearsDay,01/01/2083
184,NewYearsDay,01/01/2084
185,NewYearsDay,01/01/2085
186,NewYearsDay,01/01/2086
187,NewYearsDay,01/01/2087
188,NewYearsDay,01/01/2088
189,NewYearsDay,01/01/2089
190,NewYearsDay,01/01/2090
191,NewYearsDay,01/01/2091
192,NewYearsDay,01/01/2092
193,NewYearsDay,01/01/2093
194,NewYearsDay,01/01/2094
195,NewYearsDay,01/01/2095
196,NewYearsDay,01/01/2096
197,NewYearsDay,01/01/2097
198,NewYearsDay,01/01/2098
199,NewYearsDay,01/01/2099
200,NewYearsDay,01/01/2100
201,NewYearsDay,01/01/2101
202,NewYearsDay,01/01/2102
203,NewYearsDay,01/01/2103
204,NewYearsDay,01/01/2104
205,NewYearsDay,01/01/2105
206,NewYearsDay,01/01/2106
207,NewYearsDay,01/01/2107
208,NewYearsDay,01/01/2108
209,NewYearsDay,01/01/2109
210,NewYearsDay,01/01/2110
211,NewYearsDay,01/01/2111
212,NewYearsDay,01/01/2112
213,NewYearsDay,01/01/2113
214,NewYearsDay,01/01/2114
215,NewYearsDay,01/01/2115
216,NewYearsDay,01/01/2116
217,NewYearsDay,01/01/2117
218,NewYearsDay,01/01/2118
219,NewYearsDay,01/01/2119
220,NewYearsDay,01/01/2120
221,NewYearsDay,01/01/2121
222,NewYearsDay,01/01/2122
223,NewYearsDay,01/01/2123
224,NewYearsDay,01/01/2124
225,NewYearsDay,01/01/2125
226,NewYearsDay,01/01/2126
227,NewYearsDay,01/01/2127
228,NewYearsDay,01/01/2128
229,NewYearsDay,01/01/2129
230,NewYearsDay,01/01/2130
231,NewYearsDay,01/01/2131
232,NewYearsDay,01/01/2132
233,NewYearsDay,01/01/2133
234,NewYearsDay,01/01/2134
235,NewYearsDay,01/01/2135
236,NewYearsDay,01/01/2136
237,NewYearsDay,01/01/2137
238,NewYearsDay,01/01/2138
239,NewYearsDay,01/01/2139
240,NewYearsDay,01/01/2140
241,NewYearsDay,01/01/2141
242,NewYearsDay,01/01/2142
243,NewYearsDay,01/01/2143
244,NewYearsDay,01/01/2144
245,NewYearsDay,01/01/2145
246,NewYearsDay,01/01/2146
247,NewYearsDay,01/01/2147
248,NewYearsDay,01/01/2148
249,NewYearsDay,01/01/2149
250,NewYearsDay,01/01/2150
251,NewYearsDay,01/01/2151
252,NewYearsDay,01/01/2152
253,NewYearsDay,01/01/2153
254,NewYearsDay,01/01/2154
255,NewYearsDay,01/01/2155
256,NewYearsDay,01/01/2156
257,NewYearsDay,01/01/2157
258,NewYearsDay,01/01/2158
259,NewYearsDay,01/01/2159
260,NewYearsDay,01/01/2160
261,NewYearsDay,01/01/2161
262,NewYearsDay,01/01/2162
263,NewYearsDay,01/01/2163
264,NewYearsDay,01/01/2164
265,NewYearsDay,01/01/2165
266,NewYearsDay,01/01/2166
267,NewYearsDay,01/01/2167
268,NewYearsDay,01/01/2168
269,NewYearsDay,01/01/2169
270,NewYearsDay,01/01/2170
271,NewYearsDay,01/01/2171
272,NewYearsDay,01/01/2172
273,NewYearsDay,01/01/2173
274,NewYearsDay,01/01/2174
275,NewYearsDay,01/01/2175
276,NewYearsDay,01/01/2176
277,NewYearsDay,01/01/2177
278,NewYearsDay,01/01/2178
279,NewYearsDay,01/01/2179
280,NewYearsDay,01/01/2180
281,NewYearsDay,01/01/2181
282,NewYearsDay,01/01/2182
283,NewYearsDay,01/01/2183
284,NewYearsDay,01/01/2184
285,NewYearsDay,01/01/2185
286,NewYearsDay,01/01/2186
287,NewYearsDay,01/01/2187
288,NewYearsDay,01/01/2188
289,NewYearsDay,01/01/2189
290,NewYearsDay,01/01/2190
291,NewYearsDay,01/01/2191
292,NewYearsDay,01/01/2192
293,NewYearsDay,01/01/2193
294,NewYearsDay,01/01/2194
295,NewYearsDay,01/01/2195
296,NewYearsDay,01/01/2196
297,NewYearsDay,01/01/2197
298,NewYearsDay,01/01/2198
299,NewYearsDay,01/01/2199
300,NewYearsDay,01/01/2200
301,NewYearsDay,01/01/2201
302,NewYearsDay,01/01/2202
303,NewYearsDay,01/01/2203
304,NewYearsDay,01/01/2204
305,NewYearsDay,01/01/2205
306,NewYearsDay,01/01/2206
307,NewYearsDay,01/01/2207
308,NewYearsDay,01/01/2208
309,NewYearsDay,01/01/2209
310,NewYearsDay,01/01/2210
311,NewYearsDay,01/01/2211
312,NewYearsDay,01/01/2212
313,NewYearsDay,01/01/2213
314,NewYearsDay,01/01/2214
315,NewYearsDay,01/01/2215
316,NewYearsDay,01/01/2216
317,NewYearsDay,01/01/2217
318,NewYearsDay,01/01/2218
319,NewYearsDay,01/01/2219
320,NewYearsDay,01/01/2220
321,NewYearsDay,01/01/2221
322,NewYearsDay,01/01/2222
323,NewYearsDay,01/01/2223
324,NewYearsDay,01/01/2224
325,NewYearsDay,01/01/2225
326,NewYearsDay,01/01/2226
327,NewYearsDay,01/01/2227
328,NewYearsDay,01/01/2228
329,NewYearsDay,01/01/2229
330,NewYearsDay,01/01/2230
331,NewYearsDay,01/01/2231
332,NewYearsDay,01/01/2232
333,NewYearsDay,01/01/2233
334,NewYearsDay,01/01/2234
335,NewYearsDay,01/01/2235
336,NewYearsDay,01/01/2236
337,NewYearsDay,01/01/2237
338,NewYearsDay,01/01/2238
339,NewYearsDay,01/01/2239
340,NewYearsDay,01/01/2240
341,NewYearsDay,01/01/2241
342,NewYearsDay,01/01/2242
343,NewYearsDay,01/01/2243
344,NewYearsDay,01/01/2244
345,NewYearsDay,01/01/2245
346,NewYearsDay,01/01/2246
